timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,trdType
2024-11-06D00:13:45.879667762,ETHUSD,Buy,6,2433.73,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e83,1460238,0.4181185,1017.587,Regular
2024-11-06D00:13:45.879910344,ETHUSD,Buy,6,2433.73,ZeroPlusTick,00000000-006d-1000-0000-000d7e600e8c,1460238,0.4181185,1017.587,Regular
2024-11-06D00:13:45.888034955,ETHUSD,Buy,26,2434.37,PlusTick,00000000-006d-1000-0000-000d7e600f69,6329362,1.811847,4410.705,Regular
2024-11-06D00:13:45.900656452,ETHUSD,Buy,52,2434.55,PlusTick,00000000-006d-1000-0000-000d7e601094,12659660,3.623693,8822.063,Regular
2024-11-06D00:13:45.901189024,ETHUSD,Buy,26,2434.55,ZeroPlusTick,00000000-006d-1000-0000-000d7e6010a6,6329830,1.811847,4411.031,Regular
2024-11-06D00:13:45.904375752,ETHUSD,Buy,53,2434.55,ZeroPlusTick,00000000-006d-1000-0000-000d7e6010de,12903115,3.69338,8991.718,Regular
2024-11-06D00:13:45.907172237,ETHUSD,Buy,25,2434.55,ZeroPlusTick,00000000-006d-1000-0000-000d7e60113b,6086375,1.74216,4241.376,Regular
2024-11-06D00:13:45.910850700,ETHUSD,Buy,38,2435.1,PlusTick,00000000-006d-1000-0000-000d7e6011bd,9253380,2.648084,6448.348,Regular
2024-11-06D00:13:45.911978028,ETHUSD,Buy,2,2435.1,ZeroPlusTick,00000000-006d-1000-0000-000d7e6011df,487020,0.1393728,339.3868,Regular
2024-11-06D00:13:45.923825601,ETHUSD,Buy,98,2435.1,ZeroPlusTick,00000000-006d-1000-0000-000d7e60129c,23863980,6.829268,16629.95,Regular
2024-11-06D00:13:45.931719129,ETHUSD,Buy,28,2435.1,ZeroPlusTick,00000000-006d-1000-0000-000d7e60131a,6818280,1.95122,4751.415,Regular
2024-11-06D00:13:45.931719129,ETHUSD,Buy,14,2435.16,PlusTick,00000000-006d-1000-0000-000d7e60131d,3409224,0.9756098,2375.766,Regular
2024-11-06D00:13:45.931719129,ETHUSD,Buy,18,2435.33,PlusTick,00000000-006d-1000-0000-000d7e601320,4383594,1.254355,3054.769,Regular
2024-11-06D00:13:45.931719129,ETHUSD,Buy,31,2435.51,PlusTick,00000000-006d-1000-0000-000d7e601323,7550081,2.160279,5261.38,Regular
2024-11-06D00:13:45.937520866,ETHUSD,Buy,16,2435.51,ZeroPlusTick,00000000-006d-1000-0000-000d7e60136b,3896816,1.114983,2715.551,Regular
2024-11-06D00:13:45.943350462,ETHUSD,Buy,32,2435.94,PlusTick,00000000-006d-1000-0000-000d7e6013c4,7795008,2.229965,5432.061,Regular
2024-11-06D00:13:45.943350462,ETHUSD,Buy,63,2436.04,PlusTick,00000000-006d-1000-0000-000d7e6013ca,15347052,4.390244,10694.81,Regular
2024-11-06D00:13:45.976325683,ETHUSD,Buy,9,2436.04,ZeroPlusTick,00000000-006d-1000-0000-000d7e601613,2192436,0.6271777,1527.83,Regular
2024-11-06D00:13:45.980185996,ETHUSD,Buy,16,2436.04,ZeroPlusTick,00000000-006d-1000-0000-000d7e601654,3897664,1.114983,2716.142,Regular
2024-11-06D00:13:51.117640635,ETHUSD,Sell,6,2435.62,MinusTick,00000000-006d-1000-0000-000d7e605dfc,1461372,0.4181185,1018.378,Regular
2024-11-06D00:13:51.649307909,ETHUSD,Buy,20,2435.45,MinusTick,00000000-006d-1000-0000-000d7e606751,4870900,1.393728,3394.355,Regular
2024-11-06D00:13:53.076574493,ETHUSD,Sell,14,2434.94,MinusTick,00000000-006d-1000-0000-000d7e607a04,3408916,0.9756098,2375.551,Regular
2024-11-06D00:13:53.093198617,ETHUSD,Sell,6,2434.73,MinusTick,00000000-006d-1000-0000-000d7e607b25,1460838,0.4181185,1018.006,Regular
2024-11-06D00:14:27.916253284,ETHUSD,Sell,6,2434.64,MinusTick,00000000-006d-1000-0000-000d7e61f770,1460784,0.41841,1018.678,Regular
2024-11-06D00:14:51.802879623,ETHUSD,Sell,6,2434.82,PlusTick,00000000-006d-1000-0000-000d7e62d500,1460892,0.41841,1018.753,Regular
2024-11-06D00:14:52.058962249,ETHUSD,Sell,3,2434.44,MinusTick,00000000-006d-1000-0000-000d7e62e28a,730332,0.209205,509.2971,Regular
2024-11-06D00:14:54.255216311,ETHUSD,Sell,14,2433.88,MinusTick,00000000-006d-1000-0000-000d7e630020,3407432,0.9762901,2376.173,Regular
2024-11-06D00:14:54.255216311,ETHUSD,Sell,6,2433.88,ZeroMinusTick,00000000-006d-1000-0000-000d7e630023,1460328,0.41841,1018.36,Regular
2024-11-06D00:15:00.770865970,ETHUSD,Sell,6,2433.23,MinusTick,00000000-006d-1000-0000-000d7e634427,1459938,0.41841,1018.088,Regular
2024-11-06D00:15:02.725470411,ETHUSD,Sell,6,2432.33,MinusTick,00000000-006d-1000-0000-000d7e636099,1459398,0.41841,1017.711,Regular
2024-11-06D00:15:02.854687869,ETHUSD,Sell,14,2432.26,MinusTick,00000000-006d-1000-0000-000d7e636590,3405164,0.9762901,2374.591,Regular
2024-11-06D00:15:07.493442769,ETHUSD,Sell,6,2431.97,MinusTick,00000000-006d-1000-0000-000d7e63a5f0,1459182,0.41841,1017.561,Regular
2024-11-06D00:15:08.849116007,ETHUSD,Sell,6,2431.1,MinusTick,00000000-006d-1000-0000-000d7e63c90f,1458660,0.41841,1017.197,Regular
2024-11-06D00:15:18.426005596,ETHUSD,Sell,6,2430.15,MinusTick,00000000-006d-1000-0000-000d7e644404,1458090,0.41841,1016.799,Regular
2024-11-06D00:15:18.426005596,ETHUSD,Sell,14,2430.03,MinusTick,00000000-006d-1000-0000-000d7e644407,3402042,0.9762901,2372.414,Regular
2024-11-06D00:15:20.940996052,ETHUSD,Sell,6,2429.5,MinusTick,00000000-006d-1000-0000-000d7e64615b,1457700,0.41841,1016.527,Regular
2024-11-06D00:15:22.420049172,ETHUSD,Sell,6,2429.02,MinusTick,00000000-006d-1000-0000-000d7e64726e,1457412,0.41841,1016.326,Regular
2024-11-06D00:15:22.803267328,ETHUSD,Sell,14,2428.34,MinusTick,00000000-006d-1000-0000-000d7e648354,3399676,0.9762901,2370.764,Regular
2024-11-06D00:15:22.821009325,ETHUSD,Sell,6,2428.3,MinusTick,00000000-006d-1000-0000-000d7e648539,1456980,0.41841,1016.025,Regular
2024-11-06D00:15:28.297944683,ETHUSD,Buy,14,2430.07,PlusTick,00000000-006d-1000-0000-000d7e64e385,3402098,0.9762901,2372.453,Regular
2024-11-06D00:16:04.877961139,ETHUSD,Buy,2,2431.78,PlusTick,00000000-006d-1000-0000-000d7e66698a,486356,0.1392758,338.688,Regular
2024-11-06D00:16:04.877961139,ETHUSD,Buy,18,2431.86,PlusTick,00000000-006d-1000-0000-000d7e66698d,4377348,1.253482,3048.292,Regular
2024-11-06D00:16:11.081802713,ETHUSD,Buy,5,2431.88,PlusTick,00000000-006d-1000-0000-000d7e66aceb,1215940,0.3481894,846.7549,Regular
2024-11-06D00:16:11.086488717,ETHUSD,Buy,2,2431.88,ZeroPlusTick,00000000-006d-1000-0000-000d7e66ad26,486376,0.1392758,338.7019,Regular
2024-11-06D00:16:11.088293834,ETHUSD,Buy,7,2431.88,ZeroPlusTick,00000000-006d-1000-0000-000d7e66ad48,1702316,0.4874652,1185.457,Regular
2024-11-06D00:16:23.032584861,ETHUSD,Buy,14,2433.83,PlusTick,00000000-006d-1000-0000-000d7e673fe4,3407362,0.9749304,2372.815,Regular
2024-11-06D00:16:28.033009511,ETHUSD,Sell,11,2432.85,MinusTick,00000000-006d-1000-0000-000d7e677a42,2676135,0.7660167,1863.604,Regular
2024-11-06D00:16:28.035176062,ETHUSD,Sell,3,2432.85,ZeroMinusTick,00000000-006d-1000-0000-000d7e677a72,729855,0.2089136,508.2556,Regular
2024-11-06D00:16:32.389723320,ETHUSD,Sell,2,2432.52,MinusTick,00000000-006d-1000-0000-000d7e67ba24,486504,0.1393728,339.0272,Regular
2024-11-06D00:16:48.469732310,ETHUSD,Buy,10,2433.63,PlusTick,00000000-006d-1000-0000-000d7e687fe1,2433630,0.6968641,1695.909,Regular
2024-11-06D00:16:49.397127707,ETHUSD,Buy,1,2433.93,PlusTick,00000000-006d-1000-0000-000d7e68897e,243393,0.06968641,169.6118,Regular
2024-11-06D00:16:49.397386570,ETHUSD,Buy,13,2433.93,ZeroPlusTick,00000000-006d-1000-0000-000d7e688983,3164109,0.9059233,2204.954,Regular
2024-11-06D00:17:13.624374497,ETHUSD,Buy,14,2436.24,PlusTick,00000000-006d-1000-0000-000d7e699702,3410736,0.9756098,2376.82,Regular
2024-11-06D00:17:13.624506442,ETHUSD,Buy,10,2436.25,PlusTick,00000000-006d-1000-0000-000d7e699708,2436250,0.6968641,1697.735,Regular
2024-11-06D00:17:24.690466797,ETHUSD,Buy,20,2437.93,PlusTick,00000000-006d-1000-0000-000d7e6a21cc,4875860,1.393728,3397.812,Regular
2024-11-06D00:18:10.044985266,ETHUSD,Sell,23,2437.78,MinusTick,00000000-006d-1000-0000-000d7e6bf9ac,5606894,1.606145,3915.429,Regular
2024-11-06D00:18:10.044985266,ETHUSD,Sell,4,2437.78,ZeroMinusTick,00000000-006d-1000-0000-000d7e6bf9af,975112,0.2793296,680.9441,Regular
2024-11-06D00:18:15.292484195,ETHUSD,Buy,14,2438.24,PlusTick,00000000-006d-1000-0000-000d7e6c43d6,3413536,0.9776536,2383.754,Regular
2024-11-06D00:18:27.988861871,ETHUSD,Buy,14,2440.24,PlusTick,00000000-006d-1000-0000-000d7e6cd91e,3416336,0.9776536,2385.709,Regular
2024-11-06D00:18:30.909255554,ETHUSD,Sell,14,2439.32,MinusTick,00000000-006d-1000-0000-000d7e6d21e4,3415048,0.9776536,2384.81,Regular
2024-11-06D00:18:38.202819096,ETHUSD,Sell,9,2439.02,MinusTick,00000000-006d-1000-0000-000d7e6d8746,2195118,0.6284916,1532.904,Regular
2024-11-06D00:18:38.202819096,ETHUSD,Sell,4,2439.02,ZeroMinusTick,00000000-006d-1000-0000-000d7e6d8749,975608,0.2793296,681.2905,Regular
2024-11-06D00:18:38.202819096,ETHUSD,Sell,3,2439.02,ZeroMinusTick,00000000-006d-1000-0000-000d7e6d874c,731706,0.2094972,510.9679,Regular
2024-11-06D00:18:38.202819096,ETHUSD,Sell,8,2438.76,MinusTick,00000000-006d-1000-0000-000d7e6d874f,1951008,0.5586592,1362.436,Regular
2024-11-06D00:18:42.977846553,ETHUSD,Sell,1,2439.42,PlusTick,00000000-006d-1000-0000-000d7e6dbb2f,243942,0.0698324,170.3506,Regular
2024-11-06D00:19:08.771563953,ETHUSD,Buy,1,2439.29,MinusTick,00000000-006d-1000-0000-000d7e6ec38c,243929,0.0698812,170.4605,Regular
2024-11-06D00:19:10.032207995,ETHUSD,Sell,2,2438.49,MinusTick,00000000-006d-1000-0000-000d7e6ed766,487698,0.1397624,340.8092,Regular
2024-11-06D00:19:20.662921653,ETHUSD,Sell,26,2437.65,MinusTick,00000000-006d-1000-0000-000d7e6f5ab1,6337890,1.816911,4428.994,Regular
2024-11-06D00:19:37.461202089,ETHUSD,Buy,5,2439.5,PlusTick,00000000-006d-1000-0000-000d7e7008ae,1219750,0.349162,851.7807,Regular
2024-11-06D00:19:37.527105659,ETHUSD,Buy,5,2439.5,ZeroPlusTick,00000000-006d-1000-0000-000d7e700bbb,1219750,0.349162,851.7807,Regular
2024-11-06D00:19:39.167158302,ETHUSD,Buy,5,2440.6,PlusTick,00000000-006d-1000-0000-000d7e702f1a,1220300,0.349162,852.1648,Regular
2024-11-06D00:19:39.171980577,ETHUSD,Buy,14,2440.68,PlusTick,00000000-006d-1000-0000-000d7e702f4a,3416952,0.9776536,2386.14,Regular
2024-11-06D00:19:44.660549705,ETHUSD,Sell,14,2439.48,MinusTick,00000000-006d-1000-0000-000d7e707049,3415272,0.9776536,2384.966,Regular
2024-11-06D00:19:45.016938799,ETHUSD,Sell,6,2439.24,MinusTick,00000000-006d-1000-0000-000d7e70743b,1463544,0.4189944,1022.028,Regular
2024-11-06D00:20:26.490417595,ETHUSD,Sell,1,2437.73,MinusTick,00000000-006d-1000-0000-000d7e724b29,243773,0.0698324,170.2325,Regular
2024-11-06D00:20:26.490417595,ETHUSD,Sell,2,2437.73,ZeroMinusTick,00000000-006d-1000-0000-000d7e724b2c,487546,0.1396648,340.4651,Regular
2024-11-06D00:20:26.490417595,ETHUSD,Sell,11,2437.68,MinusTick,00000000-006d-1000-0000-000d7e724b2f,2681448,0.7681564,1872.52,Regular
2024-11-06D00:20:26.505628513,ETHUSD,Sell,3,2437.68,ZeroMinusTick,00000000-006d-1000-0000-000d7e724d0e,731304,0.2094972,510.6872,Regular
2024-11-06D00:20:26.647563407,ETHUSD,Sell,3,2437.11,MinusTick,00000000-006d-1000-0000-000d7e72563e,731133,0.2094972,510.5677,Regular
2024-11-06D00:21:17.517286374,ETHUSD,Buy,14,2438.03,PlusTick,00000000-006d-1000-0000-000d7e74ae49,3413242,0.9769714,2381.886,Regular
2024-11-06D00:21:24.200855079,ETHUSD,Sell,3,2438.38,PlusTick,00000000-006d-1000-0000-000d7e74f6fc,731514,0.209351,510.4773,Regular
2024-11-06D00:21:24.200982172,ETHUSD,Sell,1,2438.38,ZeroPlusTick,00000000-006d-1000-0000-000d7e74f700,243838,0.06978367,170.1591,Regular
